zip,median_household_income,population,median_age,owner_occupied_pct,children_pct,spanish_pct
33101,84000,1200,38,22.0,12.0,58.0
33125,47000,42000,39,31.0,34.0,86.0
33128,52000,4200,40,18.0,20.0,72.0
33129,121000,12500,42,45.0,21.0,54.0
33130,96000,22000,37,26.0,17.0,63.0
33131,118000,25000,38,38.0,15.0,49.0
33133,132000,31000,41,52.0,24.0,41.0
33134,105000,38000,43,49.0,28.0,68.0
33135,42000,37000,40,29.0,33.0,89.0
33142,39000,45000,36,33.0,38.0,74.0
33143,141000,29000,44,63.0,30.0,45.0
33145,71000,26000,41,38.0,26.0,79.0
33155,68000,40000,42,58.0,31.0,82.0
33156,168000,24000,46,71.0,29.0,38.0
